                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.98069,                0.49955,                0.87996,                0.98947,                0.98232,                0.99422,                 0.7467,                0.87461,                0.42576,                0.86998,              0.0006734,              0.0006734,              0.0006734
                    136,                0.98345,                0.49619,                0.88555,                0.98811,                0.98323,                0.99419,                0.76726,                0.86276,                0.41772,                0.86525,              0.0006635,              0.0006635,              0.0006635
                    137,                0.99489,                0.50404,                0.88908,                 0.9868,                0.98257,                0.99436,                0.73548,                0.89147,                0.42305,                0.87069,              0.0006536,              0.0006536,              0.0006536
                    138,                0.98974,                0.50902,                0.88011,                0.99169,                  0.983,                0.99456,                 0.7595,                0.84947,                 0.4194,                0.86409,              0.0006437,              0.0006437,              0.0006437
                    139,                0.97701,                0.49623,                0.88489,                0.98707,                0.98638,                0.99445,                0.75946,                0.88842,                0.42409,                0.86954,              0.0006338,              0.0006338,              0.0006338
                    140,                0.98788,                0.50467,                0.88642,                 0.9862,                0.98391,                 0.9944,                0.74734,                0.92034,                0.42757,                0.87558,              0.0006239,              0.0006239,              0.0006239
                    141,                0.97654,                0.49401,                0.88327,                0.98568,                0.98304,                  0.994,                0.75138,                0.86025,                0.40971,                0.86589,               0.000614,               0.000614,               0.000614
                    142,                0.96276,                0.48828,                0.88341,                0.98682,                0.98413,                0.99438,                0.74775,                0.87687,                0.41407,                0.86644,              0.0006041,              0.0006041,              0.0006041
                    143,                0.97764,                0.49482,                0.88146,                0.99067,                0.98636,                0.99462,                0.75223,                0.87309,                0.41563,                 0.8664,              0.0005942,              0.0005942,              0.0005942
                    144,                0.96865,                0.49064,                0.88213,                0.98971,                0.98112,                0.99436,                 0.7577,                0.87182,                0.42167,                0.86499,              0.0005843,              0.0005843,              0.0005843
                    145,                0.97387,                0.49426,                0.88149,                0.99019,                0.98337,                0.99442,                0.74787,                0.86598,                0.40984,                0.86462,              0.0005744,              0.0005744,              0.0005744
